INSTNM,LONGITUD,LATITUDE
American National University-Dayton,-84.126973,39.700131
American National University-Lexington,-84.419122,38.028845
American National University-Stow,-81.401206,41.161135
American National University-Willoughby Hills,-81.486554,41.58265
American National University-Youngstown,-80.663894,41.144911
American Public University System,-77.859781,39.288383
American River College,-121.346012,38.649734
American Samoa Community College,-170.742728,-14.322587
American School of Business,-93.724963,32.414975
American School of Technology,-82.971349,40.061194
American Sentinel University,-104.831151,39.67657
American Technical Institute,-66.18609,18.380037
American Trade School,-90.379961,38.72866
American University,-77.090106,38.937802
American University of Health Sciences,-118.171442,33.797115
American University of Puerto Rico,-66.478655,18.434072
American University of Puerto Rico,-66.18678,18.406139
AmeriTech College-Draper,-111.892792,40.527932
AmeriTech College-Provo,-111.668083,40.261772
AMG School of Licensed Practical Nursing,-73.982436,40.694258
Amherst College,-72.518493,42.372459
Amridge University,-86.17401,32.362609
Anabaptist Mennonite Biblical Seminary,-85.972222,41.656093
Ancilla College,-86.445448,41.337978
Anderson University,-82.640205,34.515506
Anderson University,-85.662292,40.112167
Andover Newton Theological School,-71.189586,42.324729
Andrew College,-84.795021,31.772321
Andrews University,-86.356866,41.962914
Angeles College,-118.299091,34.06051
Angeles Institute,-118.084414,33.858365
Angelina College,-94.73163,31.28736
Angelo State University,-100.466495,31.44145
Ann Arbor Institute of Massage Therapy,-83.802231,42.282594
Ann Marie's World of Beauty School,-75.908079,42.107798
Anna Maria College,-71.918961,42.33055
Anne Arundel Community College,-76.512223,39.049813
Annenberg School of Nursing,-118.553931,34.20069
Anoka Technical College,-93.415955,45.216331
Anoka-Ramsey Community College,-93.351697,45.172978
Antelope Valley College,-118.186166,34.676207
Antilles School of Technical Careers,-66.059172,18.438465
Antioch College,-83.889793,39.800282
Antioch University-Connected,-83.905864,39.803281
Antioch University-Los Angeles,-118.384651,33.98764
Antioch University-Midwest,-83.892094,39.795828
Antioch University-New England,-72.293798,42.932344
Antioch University-PhD Program in Leadership and Change,-83.908261,39.80278
Antioch University-Santa Barbara,-119.695767,34.419007
Antioch University-Seattle,-122.342647,47.61696
Antioch University-System Administration,-83.908261,39.80278
Antonelli College-Cincinnati,-84.510764,39.103991
Antonelli College-Hattiesburg,-89.335692,31.349549
Antonelli College-Jackson,-90.12297,32.328918
Antonelli Institute,-75.20905,40.09077
Antonelli Medical and Professional Institute,-75.617411,40.2347
AOMA Graduate School of Integrative Medicine,-97.800881,30.22869
Aparicio-Levy Technical College,-82.332111,27.99012
Apex Academy of Hair Design Inc,-85.680769,40.112113
Apex School of Theology,-78.841041,35.92314
Apex Technical School,-73.941511,40.75043
Apollo Career Center,-84.14971,40.69222
Appalachian Beauty School,-82.295552,37.672192
Appalachian Bible College,-81.20115,37.853339
Appalachian College of Pharmacy,-82.005227,37.211496
Appalachian School of Law,-82.096426,37.278007
Appalachian State University,-81.680234,36.214844
Applied Technology Services,-90.293882,38.778863
Aquinas College,-86.844214,36.132187
Aquinas College,-85.626166,42.960449
Aquinas Institute of Theology,-90.237365,38.635008
Arapahoe Community College,-105.018631,39.607505
Arcadia University,-75.165205,40.091941
Argosy University-Atlanta,-84.356001,33.92006
Argosy University-Chicago,-87.623772,41.886006
Argosy University-Dallas,-96.823046,32.926742
Argosy University-Denver,-104.901681,39.65615
Argosy University-Hawaii,-157.860916,21.308026
Argosy University-Inland Empire,-117.578381,34.06641
Argosy University-Los Angeles,-118.373038,33.927857
Argosy University-Nashville,-86.634674,36.154664
Argosy University-Orange County,-117.897468,33.779113
Argosy University-Phoenix,-112.107455,33.5669
Argosy University-Phoenix Online Division,-112.107494,33.566817
Argosy University-Salt Lake City,-111.895536,40.534344
Argosy University-San Diego,-117.158047,32.775512
Argosy University-San Francisco Bay Area,-122.267523,37.781238
Argosy University-Sarasota,-82.465363,27.351394
Argosy University-Schaumburg,-88.042083,42.046739
Argosy University-Seattle,-122.351734,47.613924
Argosy University-Tampa,-82.482545,27.955166
Argosy University-The Art Institute of California-Hollywood,-118.299126,34.061265
Argosy University-The Art Institute of California-Inland Empire,-117.270681,34.07184
Argosy University-The Art Institute of California-Los Angeles,-118.451869,34.019215
Argosy University-The Art Institute of California-Orange County,-117.916303,33.697014
Argosy University-The Art Institute of California-Sacramento,-121.519083,38.62211
Argosy University-The Art Institute of California-San Diego,-117.155395,32.778278
Argosy University-The Art Institute of California-San Francisco,-122.417185,37.803958
Argosy University-The Art Institute of California-Silicon Valley,-121.99938,37.37317
Argosy University-Twin Cities,-93.173871,44.837284
Argosy University-Washington DC,-77.075927,38.894272
Aria Health School of Nursing,-74.978275,40.125175
Arizona Academy of Beauty-East,-110.872305,32.237253
Arizona Academy of Beauty-North,-110.978064,32.28066
Arizona Automotive Institute,-112.157344,33.537249
Arizona Board of Regents,-112.073908,33.470136
Arizona Christian University,-112.026211,33.595117
Arizona College - Las Vegas,-115.171331,36.1456
Arizona College-Glendale,-112.154247,33.567495
Arizona College-Mesa,-111.874356,33.418379
Arizona Culinary Institute,-111.831237,33.581935
Arizona School of Acupuncture and Oriental Medicine,-110.929241,32.26463
Arizona School of Integrative Studies,-112.042073,34.76364
Arizona State University-Downtown Phoenix,-112.073231,33.45343
Arizona State University-Polytechnic,-111.685485,33.307114
Arizona State University-Skysong,-111.924051,33.46268
Arizona State University-Tempe,-111.934629,33.422247
Arizona State University-West,-112.161271,33.6096
Arizona Summit Law School,-112.073152,33.44871
Arizona Western College,-114.495968,32.689306
Arkansas Baptist College,-92.290555,34.734751
Arkansas Beauty College,-93.13522,35.278622
Arkansas Beauty School,-92.44029,35.093082
Arkansas Beauty School-Little Rock,-92.334814,34.669071
Arkansas College of Barbering and Hair Design,-92.266336,34.753621
Arkansas Northeastern College,-89.922491,35.897362
Arkansas State University Mid-South,-90.22285,35.145736
Arkansas State University-Beebe,-91.896165,35.074512
Arkansas State University-Main Campus,-90.680478,35.842779
Arkansas State University-Mountain Home,-92.383355,36.335336
Arkansas State University-Newport,-91.189524,35.640328
Arkansas State University-System Office,-92.287871,34.746344
Arkansas Tech University,-93.13233,35.295227
Arlington Baptist College,-97.155661,32.739543
Arlington Career Institute,-97.052772,32.77244
Arlington Medical Institute,-97.094551,32.78539
Armstrong State University,-81.160409,31.978109
Arnolds Beauty School,-88.758926,35.917765
Arnot Ogden Medical Center,-76.828353,42.10099
Arrojo Cosmetology School,-74.004892,40.727795
Art Academy of Cincinnati,-84.497573,39.108382
Art Center College of Design,-118.186901,34.170844
Arthur's Beauty College Inc-Fort Smith,-94.410967,35.379955
Arthur's Beauty College Inc-Jacksonville,-92.102284,34.8918
Arthur's Beauty School Inc-Conway,-92.44599,35.109134
Artistic Academy of Hair Design,-74.486405,40.855589
Artistic Nails and Beauty Academy-Lakeland,-81.946581,28.05287
Artistic Nails and Beauty Academy-Tampa,-82.403486,27.951358
ASA College,-73.986027,40.692405
Asbury Theological Seminary,-84.661862,37.863704
Asbury University,-84.662606,37.862029
Ashdown College of Health Sciences,-117.180651,34.05831
Asher College,-121.415767,38.587784
Asheville-Buncombe Technical Community College,-82.555838,35.571055
Ashford University,-117.141961,32.8273
Ashland Community and Technical College,-82.650664,38.469201
Ashland County-West Holmes Career Center,-82.272726,40.772463
Ashland University,-82.320621,40.860987
Ashtabula County Technical and Career Campus,-80.73451,41.745865
ASI Career Institute,-75.045231,39.75546
Asian American International Beauty College,-117.991607,33.759311
ASM Beauty World Academy,-80.232133,26.046048
Asnuntuck Community College,-72.570177,41.998409
Aspen Beauty Academy of Laurel,-76.822817,39.100704
Aspen University,-104.939873,39.703696
Assabet Valley Regional Technical School,-71.564771,42.36838
Assemblies of God Theological Seminary,-93.26151,37.224401
Associated Barber College of San Diego,-117.159901,32.7192
Associated Beth Rivkah Schools,-73.950087,40.666388
Associated Technical College-Los Angeles,-118.27243,34.055987
Associated Technical College-San Diego,-117.158203,32.715658
Associated Training Services,-89.150441,43.23941
Assumption College,-71.828387,42.295435
Assumption College for Sisters,-74.488146,40.902675
Astrodome Career Centers,-95.420772,29.679443
ATA Career Education,-82.595681,28.45276
ATA College,-85.566577,38.224038
Atelier Esthetique Institute of Esthetics,-73.999581,40.73814
Atenas College,-66.473799,18.43328
Athena Career Academy,-83.664756,41.616622
Athenaeum of Ohio,-84.375556,39.084199
Athens State University,-86.96514,34.805625
Athens Technical College,-83.339598,33.990183
ATI College-Norwalk,-118.068412,33.904942
Atlanta Beauty & Barber Academy,-84.259389,33.916826
Atlanta Institute of Music and Media,-84.106629,33.960266
Atlanta Metropolitan State College,-84.404659,33.70893
Atlanta School of Massage,-84.29844,33.927829
Atlanta Technical College,-84.404995,33.712009
Atlanta's John Marshall Law School,-84.38777,33.793388
Atlantic Beauty & Spa Academy LLC,-74.613311,39.43335
Atlantic Cape Community College,-74.682286,39.461387
Atlantic Institute of Oriental Medicine,-80.142235,26.121964
Atlantic Technical College,-80.185311,26.243609
Atlantic University College,-66.111714,18.357395
Atlantis University,-80.18916,25.788556
ATS Institute of Technology,-81.451108,41.547556
Auburn Career Center,-81.243798,41.649238
Auburn University,-85.482782,32.604685
Auburn University at Montgomery,-86.177351,32.369939
Augsburg College,-93.241418,44.965636
Augusta Area Dietetic Internship-University Hospital,-81.981962,33.472447
Augusta School of Massage,-82.135503,33.529159
Augusta Technical College,-82.048439,33.418992
Augusta University,-81.988361,33.47145
Augustana College,-90.552402,41.500326
Augustana University,-96.738507,43.525939
Auguste Escoffier School of Culinary Arts-Austin,-97.717872,30.32646
Auguste Escoffier School of Culinary Arts-Boulder,-105.250075,39.983475
Aultman College of Nursing and Health Sciences,-81.404182,40.796865
Aurora University,-88.349469,41.754465
Austin College,-96.598772,33.646307
Austin Community College District,-97.68172,30.333508
Austin Graduate School of Theology,-97.711706,30.343788
Austin Kade Academy,-112.000731,43.482759
Austin Peay State University,-87.354081,36.533319
Austin Presbyterian Theological Seminary,-97.737752,30.292635
Austin's School of Spa Technology,-73.788706,42.680756
Automeca Technical College-Aguadilla,-67.141456,18.444126
Automeca Technical College-Bayamon,-66.184522,18.406869
Automeca Technical College-Caguas,-66.037188,18.230309
Automeca Technical College-Ponce,-66.634948,18.010869
Automotive Training Center-Exton,-75.644446,40.057849
Automotive Training Center-Warminster,-75.073578,40.199795
Autry Technology Center,-97.89719,36.419122
Avalon School of Cosmetology,-95.602411,43.63189
Avalon School of Cosmetology-Alameda,-122.243566,37.764203
Avalon School of Cosmetology-Layton,-112.002812,41.089164
Avalon School of Cosmetology-Mesa,-111.858305,33.376583
Avalon School of Cosmetology-Phoenix,-112.068591,33.64132
Avance Beauty College,-117.062216,32.581402
Avant Gard The School,-86.378231,39.75947
Ave Maria School of Law,-81.731045,26.24209
Ave Maria University,-81.441082,26.33711
Aveda Fredric's Institute-Cincinnati,-84.361571,39.35481
Aveda Fredric's Institute-Indianapolis,-86.064141,39.90575
Aveda Institute Portland-Vancouver Campus,-122.603834,45.643687
Aveda Institute-Baton Rouge,-91.053805,30.425546
Aveda Institute-Boise,-116.274285,43.636108
Aveda Institute-Chapel Hill,-79.025224,35.925206
Aveda Institute-Chicago,-87.645838,41.933493
Aveda Institute-Columbus,-83.014111,39.994537
Aveda Institute-Covington,-90.104224,30.494047
Aveda Institute-Denver,-104.993041,39.74491
Aveda Institute-Des Moines,-93.801571,41.561794
Aveda Institute-Lafayette,-92.042092,30.206168
Aveda Institute-Los Angeles,-118.446591,34.06278
Aveda Institute-Madison,-89.399026,43.072676
Aveda Institute-Minneapolis,-93.253702,44.987863
Aveda Institute-New Mexico,-106.667721,35.09187
Aveda Institute-New York,-74.004832,40.725813
Aveda Institute-Phoenix,-111.968911,33.33954
Aveda Institute-Portland,-122.684791,45.52559
Aveda Institute-Provo,-111.658664,40.23664
Aveda Institute-San Antonio,-98.452421,29.63745
Aveda Institute-South Florida,-80.251738,26.044561
Aveda Institute-Tallahassee,-84.319052,30.442008
Aveda Institute-Tucson,-110.957371,32.23271
Aveda Institute-Twin Falls,-114.461693,42.593695
Avenue Five Institute,-97.727951,30.36866
Avera McKennan Hospital School of Radiologic Technology,-96.711339,43.53456
Avera Sacred Heart Hospital,-97.407865,42.872359
Averett University,-79.413214,36.577273
Averett University-Non-Traditional Programs,-79.413195,36.577257
Avi Career Training,-77.296726,38.974292
Aviation Institute of Maintenance,-122.202245,37.725836
Aviation Institute of Maintenance-Atlanta,-84.147741,33.94948
Aviation Institute of Maintenance-Chesapeake,-76.26867,36.778518
Aviation Institute of Maintenance-Dallas,-96.941501,32.8357
Aviation Institute of Maintenance-Houston,-95.28262,29.65852
Aviation Institute of Maintenance-Indianapolis,-86.288273,39.753062
Aviation Institute of Maintenance-Kansas City,-94.498289,39.049869
Aviation Institute of Maintenance-Las Vegas,-115.117631,36.08304
Aviation Institute of Maintenance-Manassas,-77.514981,38.79441
Aviation Institute of Maintenance-Orlando,-81.335192,28.680641
Aviation Institute of Maintenance-Philadelphia,-75.012888,40.072299
Aviator College of Aeronautical Science and Technology,-80.354456,27.484379
Avila University,-94.591387,38.912159
AVTEC-Alaska's Institute of Technology,-149.444573,60.110727
Award Beauty School,-77.720283,39.640443
Ayers Career College,-93.798229,32.418291
Azure College,-80.227851,25.92795
Azusa Pacific University,-117.88795,34.130865
Azusa Pacific University College,-117.827131,34.11062
B M Spurr School of Practical Nursing,-80.753173,39.946228
Babson College,-71.269479,42.296529
Bacone College,-95.335337,35.77707
Bainbridge State College,-84.535049,30.899474
Bais Binyomin Academy,-73.534604,41.059922
Bais HaMedrash and Mesivta of Baltimore,-76.674591,39.37968
Bais Medrash Elyon,-73.973431,40.6275
Bais Medrash Toras Chesed,-74.21127,40.099704
Baker College,-83.694679,42.974764
Baker College Center for Graduate Studies,-83.694495,42.974759
Baker College of Allen Park,-83.203166,42.274542
Baker College of Auburn Hills,-83.249027,42.659868
Baker College of Cadillac,-85.380045,44.268014
Baker College of Clinton Township,-82.90907,42.553231
Baker College of Jackson,-84.451226,42.278175
Baker College of Muskegon,-86.196717,43.244133
Baker College of Owosso,-84.170882,42.987045
Baker College of Port Huron,-82.469672,42.978709
Baker University,-95.188231,38.777278
Bakersfield College,-118.973491,35.4108
Bakke Graduate University,-96.753831,32.89439
Baldwin Beauty School-North Austin,-97.729196,30.365682
Baldwin Beauty School-South Austin,-97.783069,30.241667
Baldwin Park Adult & Community Education,-117.959486,34.09673
Baldwin Wallace University,-81.849112,41.373938
Ball State University,-85.408863,40.198942
Baltimore City Community College,-76.662878,39.319978
Baltimore School of Massage-Linthicum,-76.672532,39.215919
Baltimore School of Massage-York,-76.768018,40.083767
Baltimore Studio of Hair Design,-76.620034,39.293472
Bancroft School of Massage Therapy,-71.778773,42.26931
Bank Street College of Education,-73.966643,40.805604
Baptist Bible College,-93.285385,37.239731
Baptist Health College-Little Rock,-92.40692,34.713115
Baptist Health System School of Health Professions,-98.568633,29.517296
Baptist Memorial College of Health Sciences,-90.027501,35.138415
Baptist Missionary Association Theological Seminary,-95.252385,31.976958
Baptist Theological Seminary at Richmond,-77.468501,37.63249
Baptist University of the Americas,-98.545169,29.346868
Bar Palma Beauty Careers Academy,-79.968854,37.237643
Barber Institute of Texas,-94.732151,32.46156
Barber School of Pittsburgh,-80.034071,40.44202
Barclay College,-99.104027,37.620691
Bard College,-73.906243,42.021803
Bard College at Simon's Rock,-73.380008,42.209241
Barnard College,-73.964027,40.809137
Barnes-Jewish College Goldfarb School of Nursing,-90.260648,38.636881
Barone Beauty Academy,-76.993951,41.2448
Barrett and Company School of Hair Design,-84.579948,37.866379
Barry University,-80.196136,25.878865
Barstow Community College,-117.02523,34.871451
Barton College,-77.913805,35.735463
Barton County Community College,-98.731697,38.40331
Bastyr University,-122.251708,47.729935
Bates College,-70.203333,44.105299
Bates Technical College,-122.446412,47.251531
Baton Rouge Community College,-91.137935,30.448276
Baton Rouge General Medical Center-School of Nursing,-91.152773,30.449731
Baton Rouge General Medical Center-School of Radiologic Technology,-91.153581,30.44787
Baton Rouge School of Computers,-91.070821,30.427256
Bauder College,-84.399724,33.767494
Bay Area College of Nursing,-122.101181,37.42114
Bay Area Medical Academy,-122.406131,37.79078
Bay de Noc Community College,-87.080708,45.769714
Bay Mills Community College,-84.607089,46.454584
Bay Path University,-72.583974,42.055364
Bay State College,-71.076956,42.351965
Bay State School of Technology,-71.113455,42.179506
Bayamon Community College,-66.155678,18.398781
Baylor College of Medicine,-95.395743,29.7106
Baylor University,-97.119359,31.545956
Bayshire Academy of Beauty Craft Inc,-83.889064,43.599491
Be'er Yaakov Talmudic Seminary,-74.028483,41.139404
Beacon College,-81.875619,28.810799
Beal College,-68.780752,44.785249
Beau Monde College of Hair Design,-122.686506,45.516919
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology,-122.654171,45.53306
Beaufort County Community College,-77.0425,35.573231
Beaumont Adult School,-116.964728,33.951365
