"Official.Name","n","LONGITUDE","LATITUDE","College.Univ","X","X.1","Player","Year","Rnd","Pos"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Jaelen Strong",2015,3,"WR"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Damarious Randall",2015,1,"FS"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Mike Pollak",2008,2,"T"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Brock Osweiler",2012,2,"QB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Zach Miller",2007,2,"TE"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Shawn Lauvao",2010,3,"G"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Robert James",2008,5,"LB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Drew Hodgdon",2005,5,"C"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Marcus Hardison",2015,4,"DE"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Derek Hagan",2006,3,"WR"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Lawrence Guy",2011,7,"DT"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Marion Grice",2014,6,"RB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Travis Goethel",2010,6,"LB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Jamil Douglas",2015,4,"G"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Dexter Davis",2010,7,"LB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Carl Bradford",2014,4,"LB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Omar Bolden",2012,4,"DB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Josh Barrett",2008,7,"DB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Andrew Carnahan",2007,7,"T"
"Arkansas State University-Main Campus",17,"-90.680478","35.842779","Arkansas St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/317px-Arkansas_State_Red_Wolves_wordmark.svg.png","Oren O'Neal",2007,6,"FB"
"Arkansas State University-Main Campus",17,"-90.680478","35.842779","Arkansas St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/317px-Arkansas_State_Red_Wolves_wordmark.svg.png","Derek Newton",2011,7,"T"
"Arkansas State University-Main Campus",17,"-90.680478","35.842779","Arkansas St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/317px-Arkansas_State_Red_Wolves_wordmark.svg.png","Don Jones",2013,7,"DB"
